CODESC;TIPOESC;NOMES;SUBPREF;DISTRITO;CODINEP;CD_CIE;NOME_ANT;REDE;NOMES_COMPLETO;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;DESC_REDE
308963;CR.P.CONV;MARIA NELE;M'BOI MIRIM;JARDIM ANGELA;35005112,0;;NOVO AMANHECER MORRO DO INDIO;CON;CR.P.CONV MARIA NELE;JARDIM ANGELA;18;M BOI MIRIM;Parceira
308965;CR.P.CONV;CRESCENDO PARA BRILHAR;SAO MATEUS;SAO MATEUS;35005324,0;;;CON;CR.P.CONV CRESCENDO PARA BRILHAR;SAO MATEUS;30;SAO MATEUS;Parceira
308967;CR.P.CONV;GOTA DE ESPERANCA III;SAO MATEUS;IGUATEMI;35005169,0;;NOVA VITORIA;CON;CR.P.CONV GOTA DE ESPERANCA III;IGUATEMI;30;SAO MATEUS;Parceira
308968;CR.P.CONV;REGGIO EMILIA;FREGUESIA/BRASILANDIA;BRASILANDIA;35005214,0;;;CON;CR.P.CONV REGGIO EMILIA;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Parceira
308972;CR.P.CONV;PIMPOLHINHO;JACANA/TREMEMBE;TREMEMBE;35004842,0;;;CON;CR.P.CONV PIMPOLHINHO;TREMEMBE;6;JACANA-TREMEMBE;Parceira
308973;CR.P.CONV;PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35005212,0;;PRISCILLA TELES SIQUEIRA BALLOTA DE OLIVEIRA;CON;CR.P.CONV PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Parceira
308974;CR.P.CONV;CAMINHO DO FUTURO;JACANA/TREMEMBE;JACANA;35004843,0;;;CON;CR.P.CONV CAMINHO DO FUTURO;JACANA;6;JACANA-TREMEMBE;Parceira
308976;CR.P.CONV;PINGO DE ROSA;FREGUESIA/BRASILANDIA;BRASILANDIA;35005303,0;;;CON;CR.P.CONV PINGO DE ROSA;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Parceira
308977;CR.P.CONV;REI DAVI;ITAQUERA;ITAQUERA;35005118,0;;;CON;CR.P.CONV REI DAVI;ITAQUERA;27;ITAQUERA;Parceira
308978;CR.P.CONV;CORUJINHA DO SABER;BUTANTA;RIO PEQUENO;35005138,0;;SABER VIVER VI;CON;CR.P.CONV CORUJINHA DO SABER;RIO PEQUENO;10;BUTANTA;Parceira
308979;CR.P.CONV;ESTRELINHAS DO JARDIM JAQUELINE;BUTANTA;VILA SONIA;35005135,0;;SABER VIVER V;CON;CR.P.CONV ESTRELINHAS DO JARDIM JAQUELINE;VILA SONIA;10;BUTANTA;Parceira
308980;CR.P.CONV;REFERENCIA;BUTANTA;RAPOSO TAVARES;35005128,0;;;CON;CR.P.CONV REFERENCIA;RAPOSO TAVARES;10;BUTANTA;Parceira
308981;CR.P.CONV;GOTA DE ESPERANCA V;SAO MATEUS;SAO RAFAEL;35005145,0;;FAMILIA FRUTO FIEL II;CON;CR.P.CONV GOTA DE ESPERANCA V;SAO RAFAEL;30;SAO MATEUS;Parceira
308982;CR.P.CONV;FUTURO BRILHANTE II;VILA MARIA/VILA GUILHERME;VILA MARIA;35005313,0;;;CON;CR.P.CONV FUTURO BRILHANTE II;VILA MARIA;7;VILA MARIA-VILA GUILHERME;Parceira
308983;CR.P.CONV;FUTURO BRILHANTE III;VILA MARIA/VILA GUILHERME;VILA MARIA;35005225,0;;;CON;CR.P.CONV FUTURO BRILHANTE III;VILA MARIA;7;VILA MARIA-VILA GUILHERME;Parceira
308985;CR.P.CONV;INGRID VITORIA;ARICANDUVA/FORMOSA/CARRAO;ARICANDUVA;35005188,0;;;CON;CR.P.CONV INGRID VITORIA;ARICANDUVA;26;ARICANDUVA-FORMOSA-CARRAO;Parceira
