CODEOL;TIPO;UNIDADE;DIRETORIA;DISTRITO;NIVEL;QTDE;Nível padronizado;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;nivel_subprefeitura
307414;CR.P.CONV;MARIA DE LOURDES COSTA;SANTO AMARO;CIDADE ADEMAR;CRECHE;40;Educação Infantil;CIDADE ADEMAR;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
307419;CR.P.CONV;ELIZA BOTELHO BYINGTON;GUAIANASES;CIDADE TIRADENTES;CRECHE;31;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
307423;CR.P.CONV;ANANDA MARGA - UNIVERSO INFANTIL;FREGUESIA/BRASILANDIA;BRASILANDIA;CRECHE;48;Educação Infantil;BRASILANDIA;03;FREGUESIA-BRASILANDIA;Educação Infantil|FREGUESIA-BRASILANDIA
307424;CR.P.CONV;ALPS TIRADENTES;GUAIANASES;CIDADE TIRADENTES;CRECHE;53;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
307439;CR.P.CONV;ENCANTADO II;GUAIANASES;LAJEADO;CRECHE;40;Educação Infantil;LAJEADO;28;GUAIANASES;Educação Infantil|GUAIANASES
307475;CR.P.CONV;PASSO A PASSO;SAO MATEUS;SAPOPEMBA;CRECHE;34;Educação Infantil;SAPOPEMBA;32;SAPOPEMBA;Educação Infantil|SAPOPEMBA
307482;CR.P.CONV;SORRISOS DE CRIANCA;ITAQUERA;CIDADE LIDER;CRECHE;78;Educação Infantil;CIDADE LIDER;27;ITAQUERA;Educação Infantil|ITAQUERA
307487;CR.P.CONV;MARIA JOSE DA SILVA SANTOS;GUAIANASES;CIDADE TIRADENTES;CRECHE;83;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
307488;CR.P.CONV;BEM QUERER;GUAIANASES;LAJEADO;CRECHE;50;Educação Infantil;LAJEADO;28;GUAIANASES;Educação Infantil|GUAIANASES
307489;CEI INDIR;VO CATARINA;ITAQUERA;ITAQUERA;CRECHE;50;Educação Infantil;ITAQUERA;27;ITAQUERA;Educação Infantil|ITAQUERA
307490;CR.P.CONV;MISERICORDIA II;PIRITUBA;JARAGUA;CRECHE;41;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
307492;CR.P.CONV;ALFA E OMEGA;PIRITUBA;PERUS;CRECHE;40;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
307495;CR.P.CONV;CRIANDO HISTORIAS;PIRITUBA;JARAGUA;CRECHE;37;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
307510;CR.P.CONV;CASA PADRE RAFAEL;CAMPO LIMPO;CAMPO LIMPO;CRECHE;30;Educação Infantil;CAMPO LIMPO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
307522;CR.P.CONV;LUCIA HELENA PRADO BARRETO;GUAIANASES;LAJEADO;CRECHE;67;Educação Infantil;LAJEADO;28;GUAIANASES;Educação Infantil|GUAIANASES
307523;CR.P.CONV;VILA FELIZ;PENHA;PENHA;CRECHE;16;Educação Infantil;PENHA;21;PENHA;Educação Infantil|PENHA
